# mean_0, mean_1, mean_2, mean_3, mean_4, mean_5, mean_6, mean_7, max_prob, pred, GT, std_0, std_1, std_2, std_3, std_4, std_5, std_6, std_7
0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,0.667,1.000,1.000,0.000,0.471,0.471,0.000,0.000,0.000,0.000,0.000
0.000,0.067,0.000,0.567,0.333,0.033,0.000,0.000,0.567,3.000,1.000,0.000,0.249,0.000,0.496,0.471,0.180,0.000,0.000
0.000,0.000,0.033,0.467,0.367,0.133,0.000,0.000,0.467,3.000,5.000,0.000,0.000,0.180,0.499,0.482,0.340,0.000,0.000
0.000,0.000,0.033,0.067,0.337,0.267,0.297,0.000,0.337,4.000,5.000,0.000,0.000,0.180,0.249,0.469,0.442,0.454,0.000
0.000,0.033,0.033,0.033,0.633,0.067,0.167,0.033,0.633,4.000,6.000,0.000,0.180,0.180,0.180,0.482,0.249,0.373,0.180
0.000,0.000,0.033,0.000,0.362,0.067,0.538,0.000,0.538,6.000,5.000,0.000,0.000,0.180,0.000,0.476,0.249,0.494,0.000
0.600,0.000,0.000,0.033,0.000,0.167,0.067,0.133,0.600,0.000,5.000,0.490,0.000,0.000,0.180,0.000,0.373,0.249,0.340
0.000,0.000,0.000,0.000,0.567,0.333,0.100,0.000,0.567,4.000,4.000,0.000,0.000,0.000,0.000,0.496,0.471,0.300,0.000
0.000,0.000,0.033,0.000,0.567,0.333,0.067,0.000,0.567,4.000,4.000,0.000,0.000,0.180,0.000,0.496,0.471,0.249,0.000
0.000,0.000,0.000,0.000,0.767,0.133,0.100,0.000,0.767,4.000,4.000,0.000,0.000,0.000,0.000,0.423,0.340,0.300,0.000
0.133,0.000,0.000,0.000,0.233,0.201,0.433,0.000,0.433,6.000,4.000,0.338,0.000,0.000,0.000,0.423,0.400,0.496,0.000
0.000,0.000,0.033,0.000,0.867,0.100,0.000,0.000,0.867,4.000,4.000,0.000,0.000,0.180,0.000,0.340,0.300,0.000,0.000
0.000,0.300,0.033,0.367,0.200,0.100,0.000,0.000,0.367,3.000,4.000,0.000,0.458,0.180,0.482,0.400,0.300,0.000,0.000
0.000,0.000,0.000,0.033,0.239,0.595,0.133,0.000,0.595,5.000,4.000,0.000,0.000,0.000,0.180,0.421,0.486,0.340,0.000
0.000,0.000,0.000,0.033,0.267,0.233,0.300,0.167,0.300,6.000,4.000,0.000,0.000,0.000,0.180,0.442,0.423,0.458,0.373
0.000,0.000,0.000,0.000,0.800,0.200,0.000,0.000,0.800,4.000,4.000,0.000,0.000,0.000,0.000,0.400,0.400,0.000,0.000
0.000,0.000,0.000,0.000,0.500,0.433,0.067,0.000,0.500,4.000,4.000,0.000,0.000,0.000,0.000,0.500,0.496,0.249,0.000
0.000,0.000,0.000,0.000,0.300,0.567,0.133,0.000,0.567,5.000,4.000,0.000,0.000,0.000,0.000,0.458,0.496,0.340,0.000
0.000,0.000,0.000,0.100,0.467,0.133,0.267,0.033,0.467,4.000,4.000,0.000,0.000,0.000,0.300,0.499,0.340,0.442,0.180
0.000,0.000,0.000,0.000,0.333,0.667,0.000,0.000,0.667,5.000,4.000,0.000,0.000,0.000,0.000,0.471,0.471,0.000,0.000
0.000,0.000,0.066,0.334,0.600,0.000,0.000,0.000,0.600,4.000,3.000,0.000,0.000,0.245,0.471,0.490,0.000,0.000,0.000
0.000,0.000,0.033,0.633,0.333,0.000,0.000,0.000,0.633,3.000,3.000,0.000,0.000,0.180,0.482,0.471,0.000,0.000,0.000
0.000,0.033,0.233,0.100,0.633,0.000,0.000,0.000,0.633,4.000,3.000,0.000,0.180,0.423,0.300,0.482,0.000,0.000,0.000
0.000,0.000,0.000,0.400,0.600,0.000,0.000,0.000,0.600,4.000,3.000,0.000,0.000,0.000,0.490,0.490,0.000,0.000,0.000
0.000,0.033,0.600,0.133,0.233,0.000,0.000,0.000,0.600,2.000,3.000,0.000,0.180,0.490,0.340,0.423,0.000,0.000,0.000
0.000,0.000,0.100,0.200,0.700,0.000,0.000,0.000,0.700,4.000,3.000,0.000,0.000,0.300,0.400,0.458,0.000,0.000,0.000
0.000,0.000,0.100,0.300,0.600,0.000,0.000,0.000,0.600,4.000,3.000,0.000,0.000,0.300,0.458,0.490,0.000,0.000,0.000
0.000,0.000,0.000,0.767,0.233,0.000,0.000,0.000,0.767,3.000,3.000,0.000,0.000,0.000,0.423,0.423,0.000,0.000,0.000
0.000,0.000,0.167,0.267,0.567,0.000,0.000,0.000,0.567,4.000,3.000,0.000,0.000,0.373,0.442,0.496,0.000,0.000,0.000
0.000,0.000,0.000,0.033,0.967,0.000,0.000,0.000,0.967,4.000,3.000,0.000,0.000,0.000,0.180,0.180,0.000,0.000,0.000
0.000,0.000,0.033,0.533,0.433,0.000,0.000,0.000,0.533,3.000,3.000,0.000,0.000,0.180,0.499,0.496,0.000,0.000,0.000
0.000,0.000,0.033,0.232,0.735,0.000,0.000,0.000,0.735,4.000,3.000,0.000,0.000,0.180,0.420,0.440,0.000,0.000,0.000
0.000,0.000,0.000,0.267,0.733,0.000,0.000,0.000,0.733,4.000,3.000,0.000,0.000,0.000,0.442,0.442,0.000,0.000,0.000
0.000,0.000,0.033,0.333,0.633,0.000,0.000,0.000,0.633,4.000,3.000,0.000,0.000,0.180,0.471,0.482,0.000,0.000,0.000
0.000,0.000,0.133,0.267,0.600,0.000,0.000,0.000,0.600,4.000,3.000,0.000,0.000,0.340,0.442,0.490,0.000,0.000,0.000
0.000,0.000,0.167,0.367,0.467,0.000,0.000,0.000,0.467,4.000,3.000,0.000,0.000,0.373,0.482,0.499,0.000,0.000,0.000
0.000,0.000,0.000,0.433,0.533,0.033,0.000,0.000,0.533,4.000,3.000,0.000,0.000,0.000,0.496,0.499,0.180,0.000,0.000
0.000,0.033,0.000,0.567,0.300,0.100,0.000,0.000,0.567,3.000,4.000,0.000,0.180,0.000,0.496,0.458,0.300,0.000,0.000
0.000,0.000,0.000,0.467,0.467,0.067,0.000,0.000,0.467,3.000,4.000,0.000,0.000,0.000,0.499,0.499,0.249,0.000,0.000
0.000,0.000,0.000,0.500,0.467,0.000,0.033,0.000,0.500,3.000,4.000,0.000,0.000,0.000,0.500,0.499,0.000,0.180,0.000
0.000,0.000,0.000,0.300,0.533,0.167,0.000,0.000,0.533,4.000,4.000,0.000,0.000,0.000,0.458,0.499,0.373,0.000,0.000
0.000,0.000,0.000,0.033,0.733,0.233,0.000,0.000,0.733,4.000,4.000,0.000,0.000,0.000,0.180,0.442,0.423,0.000,0.000
0.000,0.000,0.000,0.133,0.500,0.367,0.000,0.000,0.500,4.000,4.000,0.000,0.000,0.000,0.340,0.500,0.482,0.000,0.000
0.000,0.000,0.100,0.900,0.000,0.000,0.000,0.000,0.900,3.000,4.000,0.000,0.000,0.300,0.300,0.000,0.000,0.000,0.000
0.000,0.000,0.033,0.033,0.400,0.100,0.400,0.033,0.400,4.000,4.000,0.000,0.000,0.180,0.180,0.490,0.300,0.490,0.180
0.000,0.033,0.033,0.267,0.600,0.033,0.033,0.000,0.600,4.000,4.000,0.000,0.180,0.180,0.442,0.490,0.180,0.180,0.000
0.000,0.000,0.100,0.400,0.500,0.000,0.000,0.000,0.500,4.000,4.000,0.000,0.000,0.300,0.490,0.500,0.000,0.000,0.000
0.000,0.000,0.000,0.100,0.900,0.000,0.000,0.000,0.900,4.000,4.000,0.000,0.000,0.000,0.300,0.300,0.000,0.000,0.000
0.000,0.000,0.033,0.567,0.400,0.000,0.000,0.000,0.567,3.000,4.000,0.000,0.000,0.180,0.496,0.490,0.000,0.000,0.000
0.133,0.000,0.000,0.400,0.467,0.000,0.000,0.000,0.467,4.000,4.000,0.340,0.000,0.000,0.490,0.499,0.000,0.000,0.000
0.000,0.000,0.000,0.100,0.500,0.400,0.000,0.000,0.500,4.000,4.000,0.000,0.000,0.000,0.300,0.500,0.490,0.000,0.000
0.000,0.000,0.000,0.100,0.900,0.000,0.000,0.000,0.900,4.000,5.000,0.000,0.000,0.000,0.300,0.300,0.000,0.000,0.000
0.000,0.000,0.000,0.267,0.367,0.367,0.000,0.000,0.367,4.000,4.000,0.000,0.000,0.000,0.442,0.482,0.482,0.000,0.000
0.000,0.000,0.000,0.000,0.067,0.433,0.300,0.200,0.433,5.000,4.000,0.000,0.000,0.000,0.000,0.249,0.496,0.458,0.400
0.000,0.000,0.000,0.233,0.500,0.267,0.000,0.000,0.500,4.000,4.000,0.000,0.000,0.000,0.423,0.500,0.442,0.000,0.000
0.000,0.000,0.000,0.067,0.233,0.667,0.033,0.000,0.667,5.000,4.000,0.000,0.000,0.000,0.249,0.423,0.471,0.180,0.000
0.000,0.000,0.000,0.000,0.000,0.867,0.033,0.100,0.867,5.000,4.000,0.000,0.000,0.000,0.000,0.000,0.340,0.180,0.300
0.000,0.000,0.167,0.000,0.733,0.100,0.000,0.000,0.733,4.000,4.000,0.000,0.000,0.373,0.000,0.442,0.300,0.000,0.000
0.000,0.000,0.000,0.200,0.267,0.533,0.000,0.000,0.533,5.000,4.000,0.000,0.000,0.000,0.400,0.442,0.499,0.000,0.000
0.000,0.000,0.000,0.000,0.533,0.400,0.067,0.000,0.533,4.000,4.000,0.000,0.000,0.000,0.000,0.499,0.490,0.249,0.000
0.000,0.000,0.000,0.433,0.467,0.100,0.000,0.000,0.467,4.000,3.000,0.000,0.000,0.000,0.496,0.499,0.300,0.000,0.000
0.000,0.000,0.000,0.167,0.200,0.533,0.000,0.100,0.533,5.000,4.000,0.000,0.000,0.000,0.373,0.400,0.499,0.000,0.300
0.000,0.000,0.000,0.133,0.567,0.200,0.000,0.100,0.567,4.000,4.000,0.000,0.000,0.000,0.340,0.496,0.400,0.000,0.300
0.000,0.000,0.133,0.100,0.467,0.300,0.000,0.000,0.467,4.000,4.000,0.000,0.000,0.340,0.300,0.499,0.458,0.000,0.000
0.000,0.000,0.000,0.300,0.700,0.000,0.000,0.000,0.700,4.000,4.000,0.000,0.000,0.000,0.458,0.458,0.000,0.000,0.000
0.000,0.000,0.000,0.033,0.300,0.133,0.300,0.233,0.300,4.000,4.000,0.000,0.000,0.000,0.180,0.458,0.340,0.458,0.423
0.000,0.000,0.000,0.000,0.000,0.100,0.633,0.267,0.633,6.000,6.000,0.000,0.000,0.000,0.000,0.000,0.300,0.482,0.442
0.000,0.000,0.000,0.600,0.300,0.100,0.000,0.000,0.600,3.000,4.000,0.000,0.000,0.000,0.490,0.458,0.300,0.000,0.000
0.000,0.067,0.500,0.000,0.333,0.067,0.033,0.000,0.500,2.000,6.000,0.000,0.249,0.500,0.000,0.471,0.249,0.180,0.000
0.067,0.067,0.000,0.400,0.100,0.100,0.267,0.000,0.400,3.000,5.000,0.249,0.249,0.000,0.490,0.300,0.300,0.442,0.000
0.000,0.067,0.167,0.000,0.733,0.000,0.033,0.000,0.733,4.000,4.000,0.000,0.249,0.373,0.000,0.442,0.000,0.180,0.000
0.000,0.000,0.000,0.033,0.300,0.133,0.300,0.233,0.300,4.000,4.000,0.000,0.000,0.000,0.180,0.458,0.340,0.458,0.423
0.000,0.000,0.000,0.367,0.633,0.000,0.000,0.000,0.633,4.000,4.000,0.000,0.000,0.000,0.482,0.482,0.000,0.000,0.000
0.000,0.000,0.000,0.367,0.300,0.167,0.167,0.000,0.367,3.000,4.000,0.000,0.000,0.000,0.482,0.458,0.373,0.373,0.000
0.000,0.200,0.000,0.000,0.766,0.033,0.000,0.000,0.766,4.000,4.000,0.000,0.400,0.000,0.000,0.423,0.180,0.000,0.000
0.000,0.000,0.000,0.566,0.267,0.100,0.067,0.000,0.566,3.000,4.000,0.000,0.000,0.000,0.495,0.442,0.300,0.249,0.000
0.000,0.000,0.000,0.000,0.567,0.067,0.167,0.200,0.567,4.000,4.000,0.000,0.000,0.000,0.000,0.496,0.249,0.373,0.400
0.000,0.000,0.000,0.000,0.633,0.233,0.000,0.133,0.633,4.000,4.000,0.000,0.000,0.000,0.000,0.482,0.423,0.000,0.340
0.000,0.000,0.000,0.000,0.600,0.200,0.000,0.200,0.600,4.000,4.000,0.000,0.000,0.000,0.000,0.490,0.400,0.000,0.400
0.000,0.000,0.000,0.000,0.367,0.300,0.000,0.333,0.367,4.000,4.000,0.000,0.000,0.000,0.000,0.482,0.458,0.000,0.471
0.000,0.000,0.000,0.133,0.433,0.433,0.000,0.000,0.433,4.000,4.000,0.000,0.000,0.000,0.340,0.496,0.496,0.000,0.000
0.000,0.000,0.000,0.000,0.567,0.300,0.033,0.100,0.567,4.000,4.000,0.000,0.000,0.000,0.000,0.496,0.458,0.180,0.300
0.000,0.000,0.000,0.366,0.500,0.133,0.000,0.000,0.500,4.000,5.000,0.000,0.000,0.002,0.481,0.500,0.340,0.000,0.000
0.000,0.033,0.267,0.033,0.333,0.167,0.100,0.067,0.333,4.000,5.000,0.000,0.180,0.442,0.180,0.471,0.373,0.300,0.249
0.000,0.000,0.000,0.267,0.467,0.266,0.000,0.000,0.467,4.000,5.000,0.000,0.000,0.000,0.442,0.499,0.442,0.000,0.000
0.333,0.277,0.390,0.000,0.000,0.000,0.000,0.000,0.390,2.000,1.000,0.471,0.439,0.481,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.100,0.400,0.100,0.400,0.400,5.000,6.000,0.000,0.000,0.000,0.000,0.300,0.490,0.300,0.490
0.000,0.067,0.933,0.000,0.000,0.000,0.000,0.000,0.933,2.000,1.000,0.000,0.249,0.249,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.967,0.033,0.000,0.000,0.967,4.000,4.000,0.000,0.000,0.000,0.000,0.180,0.180,0.000,0.000
0.000,0.000,0.000,0.400,0.467,0.133,0.000,0.000,0.467,4.000,4.000,0.000,0.000,0.000,0.490,0.499,0.340,0.000,0.000
0.000,0.000,0.000,0.133,0.628,0.105,0.133,0.000,0.628,4.000,4.000,0.000,0.000,0.000,0.340,0.479,0.300,0.340,0.000
0.000,0.000,0.000,0.067,0.167,0.633,0.000,0.133,0.633,5.000,4.000,0.000,0.000,0.000,0.249,0.373,0.482,0.000,0.340
0.193,0.473,0.333,0.000,0.000,0.000,0.000,0.000,0.473,1.000,1.000,0.388,0.494,0.471,0.000,0.000,0.000,0.000,0.000
0.000,0.167,0.833,0.000,0.000,0.000,0.000,0.000,0.833,2.000,1.000,0.000,0.373,0.373,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.067,0.000,0.667,0.133,0.100,0.033,0.667,4.000,4.000,0.000,0.000,0.249,0.000,0.471,0.340,0.300,0.180
0.000,0.000,0.000,0.200,0.733,0.067,0.000,0.000,0.733,4.000,4.000,0.000,0.000,0.000,0.400,0.442,0.249,0.000,0.000
0.000,0.700,0.300,0.000,0.000,0.000,0.000,0.000,0.700,1.000,1.000,0.000,0.458,0.458,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.033,0.367,0.500,0.100,0.000,0.000,0.500,4.000,4.000,0.000,0.000,0.180,0.482,0.500,0.300,0.000,0.000
0.933,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.933,0.000,1.000,0.249,0.249,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.800,0.200,0.000,0.000,0.000,0.000,0.000,0.800,1.000,1.000,0.000,0.400,0.400,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.512,0.488,0.000,0.000,0.512,4.000,4.000,0.000,0.000,0.000,0.000,0.492,0.492,0.000,0.000
0.000,0.000,0.100,0.033,0.867,0.000,0.000,0.000,0.867,4.000,4.000,0.000,0.000,0.300,0.180,0.340,0.000,0.000,0.000
0.000,0.367,0.633,0.000,0.000,0.000,0.000,0.000,0.633,2.000,1.000,0.000,0.482,0.482,0.000,0.000,0.000,0.000,0.000
